url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,tld_length,count_digits,count_special,ratio_digits,ratio_special,has_at,has_ip,has_https,has_port,double_slash_in_path,num_query_params,is_shortened,has_sensitive_words,shannon_entropy_url,shannon_entropy_domain,nan_entropy,relative_entropy_kl,y
68,37,23,0,4,2,3,6,13,0.08823529411764706,0.19117647058823528,0,0,1,0,0,0,0,0,4.382853973629238,4.216078027732641,1.8262452584026092,0.4717664426667925,1
23,14,1,0,2,0,7,0,6,0.0,0.2608695652173913,0,0,1,0,0,0,0,0,3.7622673906514947,3.52164063634332,1.4591479170272446,0.7267290074263102,1
58,15,22,13,2,0,3,6,10,0.10344827586206896,0.1724137931034483,0,0,0,0,0,1,0,0,4.6159275465533005,3.189898095464287,2.0464393446710156,0.6918340495948703,1
30,21,1,0,2,0,3,0,6,0.0,0.2,0,0,1,0,0,0,0,0,3.9232314287976204,3.4992275417233567,1.4591479170272446,0.7460123424231029,0
33,15,11,0,2,0,3,1,8,0.030303030303030304,0.24242424242424243,0,0,0,0,0,0,0,0,4.063650847340264,3.1898980954642875,1.2987949406953985,0.7803803996523418,0
109,15,87,0,2,0,3,11,17,0.10091743119266056,0.1559633027522936,0,0,0,0,0,0,0,0,4.576798968879438,3.189898095464287,1.4516607643577668,0.5110252768802803,0
69,36,26,0,3,2,2,9,11,0.13043478260869565,0.15942028985507245,0,0,0,0,0,0,0,1,4.436665812773948,3.631478390740808,1.823067982273661,0.6685329849731151,1
19,11,1,0,1,0,3,0,5,0.0,0.2631578947368421,0,0,0,0,0,0,0,0,3.47135448701393,2.7321588913645702,1.3709505944546687,0.9755635985595063,0
132,22,31,70,1,0,3,14,25,0.10606060606060606,0.1893939393939394,0,0,1,0,0,7,0,0,4.907269833156461,3.6635327548042538,2.5028246923615067,0.9908083172637986,1
112,24,81,0,2,0,3,13,19,0.11607142857142858,0.16964285714285715,0,0,0,0,0,0,0,0,4.624687596680646,3.6887218755408675,1.7002237262558646,0.5883900258554253,0
25,16,1,0,3,0,2,0,7,0.0,0.28,0,0,1,0,0,0,0,0,3.643074189428569,3.0306390622295662,1.4488156357251847,0.8060047698757179,0
36,12,17,0,2,0,3,7,8,0.19444444444444445,0.2222222222222222,0,0,0,0,0,0,0,0,4.006749918638778,2.8553885422075336,1.2987949406953985,1.002831476077208,0
92,31,54,0,2,0,3,0,14,0.0,0.15217391304347827,0,0,0,0,0,0,0,0,4.372733449439208,3.8456631498513816,1.689391746743088,0.2977583863892777,0
78,16,55,0,2,0,3,0,15,0.0,0.19230769230769232,0,0,0,0,0,0,0,0,4.34854757197808,3.1556390622295662,1.6894822670191822,0.29828207021371866,0
41,18,15,0,2,0,3,0,8,0.0,0.1951219512195122,0,0,1,0,0,0,0,0,4.277926089825635,3.5724312513221195,1.75,0.3618989433326113,0
